gene	magma_status	snRNA_support_status	twas_model_type	twas_proxy_status	spatial_status	bulk_status_if_available	repaired_reporting_group	allowed_interpretation
GCAT	top100	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
GLT8D1	top100	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
GLUD1	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
HIBADH	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
INO80	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
INTS2	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
KLK15	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
KYAT3	fdr05	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
MED20	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
MRPL33	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
OIP5	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
PDE8A	fdr05	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
PDILT	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
PKD2	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
PLCL1	top100	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
POU2AF1	top100	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
QPCTL	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
RAB36	top100	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
RAP1GAP	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
RBKS	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
RNLS	top50	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
RRAGD	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
RSPH14	fdr05	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
RTEL1	fdr05	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
SHLD2	top100	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
SHROOM3	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
SLC12A3	top100	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
SLC15A2	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
SLC2A4RG	fdr05	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
SLC4A1AP	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
TAX1BP1	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
TFAP2B	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
TFEB	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
TLN2	top100	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
TMEM170A	top100	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
TMEM171	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
TRIM26	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
TRPM7	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
UGT8	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
UMOD	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
USP50	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
WDR72	top100	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
MED1	top50	strong_context_support	multi_snp_proxy	stronger_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R2	Context-mapped MAGMA-priority candidate with stronger Kidney_Cortex TWAS proxy annotation.
FNIP2	fdr05	strong_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R3	Context-mapped MAGMA-priority candidate with weak one-SNP TWAS proxy annotation.
PPHLN1	fdr05	strong_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R3	Context-mapped MAGMA-priority candidate with weak one-SNP TWAS proxy annotation.
ABCG2	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ACP4	top100	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ADD3	fdr05	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
AIF1	top100	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ALAS1	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ALPL	top50	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ANKRD6	fdr05	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
AQP1	top100	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ARFRP1	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ARL17B	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ARPC2	fdr05	not_assessed	multi_snp_proxy	stronger_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ATF6B	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ATG16L1	top100	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ATP6V1G2	top100	partial_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
BAG6	top100	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
BOLL	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
C19orf48P	top50	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
CDK18	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
CHADL	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
CHST6	fdr05	partial_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
CPNE8	top100	no_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
CREBRF	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
CRHR1	top50	no_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
CRYGS	fdr05	no_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
CSNK2B	fdr05	no_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
CYP24A1	fdr05	no_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
DDAH2	fdr05	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
DGKD	top50	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
DGKH	top50	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
DHX16	fdr05	not_assessed	multi_snp_proxy	stronger_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
DNAJB11	top100	no_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
EPRS1	fdr05	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
F11R	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
F12	top100	partial_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
FBXL20	top50	partial_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
FKBPL	fdr05	no_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
FOLR2	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
FTO	fdr05	partial_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
GATA3	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
GCKR	top50	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
GIPC1	fdr05	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
GIPR	top50	partial_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
GNAZ	fdr05	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
GNL3	top100	no_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
GXYLT1	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
HERPUD1	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
HLA-DOB	fdr05	not_assessed	multi_snp_proxy	stronger_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
HLA-DQA2	top100	no_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
HLA-DQB2	top100	no_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
HLF	fdr05	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
HOATZ	fdr05	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
HS6ST3	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
HSPE1-MOB4	fdr05	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
INPPL1	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ITIH1	top100	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ITIH3	top100	no_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
KANSL1	top50	partial_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
KCNK5	top50	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
KLK1	fdr05	partial_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
KLK3	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
KMT5A	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
L3MBTL2	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
LAYN	top100	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
LIME1	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
LINC02875	top50	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
LMAN2	top50	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
LOC101927855	top100	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
LOC101929578	top100	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
LRRC37A	top50	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
LUZP1	fdr05	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
MAPT	top50	partial_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
