gene	twas_fdr_supported	twas_model_type	old_candidate_group	new_reporting_group	downgrade_or_no_change	reason	safe_wording	unsafe_wording
ZCRB1	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
NEK4	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
GNL3	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
DNAJB11	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
F12	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
TNXB	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
ITIH3	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
SLC41A1	TRUE	multi_snp_proxy	Tier3_context	R4	retained_as_proxy_annotation_only	Multi-SNP Kidney_Cortex TWAS is retained only as stronger proxy annotation.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
SF3B1	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
SIK2	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
NDUFAF1	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
SYT14	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
MED13	TRUE	multi_snp_proxy	Tier3_context	R4	retained_as_proxy_annotation_only	Multi-SNP Kidney_Cortex TWAS is retained only as stronger proxy annotation.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
SDHD	TRUE	one_snp_proxy		R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
HLA-DOB	TRUE	multi_snp_proxy		R4	retained_as_proxy_annotation_only	Multi-SNP Kidney_Cortex TWAS is retained only as stronger proxy annotation.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
ADD3	TRUE	one_snp_proxy		R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
LUZP1	TRUE	one_snp_proxy		R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
DDAH2	TRUE	one_snp_proxy		R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
DHX16	TRUE	multi_snp_proxy		R4	retained_as_proxy_annotation_only	Multi-SNP Kidney_Cortex TWAS is retained only as stronger proxy annotation.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
ARPC2	TRUE	multi_snp_proxy		R4	retained_as_proxy_annotation_only	Multi-SNP Kidney_Cortex TWAS is retained only as stronger proxy annotation.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
GIPC1	TRUE	one_snp_proxy		R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
ANKRD6	TRUE	one_snp_proxy		R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
HLF	TRUE	one_snp_proxy		R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
USP40	TRUE	one_snp_proxy		R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
GNAZ	TRUE	one_snp_proxy		R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
MPHOSPH9	TRUE	one_snp_proxy		R5	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
TMBIM1	TRUE	multi_snp_proxy		R5	retained_as_proxy_annotation_only	Multi-SNP Kidney_Cortex TWAS is retained only as stronger proxy annotation.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
TRPV6	TRUE	one_snp_proxy		R5	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
TMC4	TRUE	one_snp_proxy		R5	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
STMN3	TRUE	one_snp_proxy		R5	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
S100A16	TRUE	one_snp_proxy		R5	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
SPI1	TRUE	one_snp_proxy		R5	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
CHAC1	TRUE	multi_snp_proxy		R5	retained_as_proxy_annotation_only	Multi-SNP Kidney_Cortex TWAS is retained only as stronger proxy annotation.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
ZNF468	TRUE	one_snp_proxy		R5	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
ARL15	TRUE	one_snp_proxy		R5	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
FHL3	TRUE	one_snp_proxy		R5	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
RNASEH2C	TRUE	one_snp_proxy		R5	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
C6orf48	TRUE	one_snp_proxy		R5	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
RP11-298J23.10	TRUE	multi_snp_proxy		R5	retained_as_proxy_annotation_only	Multi-SNP Kidney_Cortex TWAS is retained only as stronger proxy annotation.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
TIMM8B	TRUE	one_snp_proxy		R5	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
RP11-116D17.3	TRUE	one_snp_proxy		R5	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
