gene	existing_group	repaired_reporting_group	reason_for_group_assignment	magma_summary	snRNA_summary	twas_summary	spatial_summary	bulk_summary_if_available	downgrade_reason	upgrade_reason	human_review_required	notes
MRPL33	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=25	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SLC4A1AP	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=28	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CDK12	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=29	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SHROOM3	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=34	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
DZIP1	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=35	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.251	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
PKD2	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=37	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
RBKS	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=39	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
GLT8D1	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=54	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.109	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ASCC3	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=58	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
DXO	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=61	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.819	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
AP1S3	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=66	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
BNIP1	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=68	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.163	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
PLCL1	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=74	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TMEM170A	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=76	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SHLD2	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=82	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
WDR72	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=86	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.675	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
RAB36	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=90	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.361	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CFDP1	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=91	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
GCAT	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=92	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SLC12A3	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=93	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
POU2AF1	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=95	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TLN2	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top100; rank=100	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
KLK15	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=102	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TAX1BP1	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=105	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
KYAT3	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=107	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.931	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
GLUD1	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=109	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SLC15A2	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=110	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
BCR	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=114	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
QPCTL	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=117	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CHP1	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=125	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
RSPH14	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=126	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.752	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
MED20	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=129	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CARMIL1	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=132	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
RRAGD	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=133	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TRIM26	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=138	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SLC2A4RG	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=145	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.579	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
FBXO46	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=149	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
OIP5	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=152	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
AMPD3	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=154	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
RAP1GAP	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=161	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
AOPEP	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=162	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TFEB	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=165	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
PDE8A	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=166	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.832	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
INO80	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=167	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ACP1	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=168	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.369	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CRAT	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=171	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.0729	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
BCAS3	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=172	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
BABAM2	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=174	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
DDR1	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=177	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
FN3K	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=179	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
INTS2	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=180	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TRPM7	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=187	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TMEM171	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=191	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
