source_component	source_path	method	resource_type	tissue	tissue_alias	expected_file	local_path	source_page	genome_build	version	status	file_size	md5	notes	download_attempted	download_method	download_status	blocking_level	action_decision	resource_name	source	data_type	format	required_for	dataset	geo_accession	sample_id	platform	raw_matrix_available	histology_image_available	spatial_coordinates_available	metadata_available	resource	note
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_pos	artery_aorta	GTExv8.Artery_Aorta	GTExv8.Artery_Aorta.pos	external/twas/fusion/weights/artery_aorta/GTExv8.Artery_Aorta.pos	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			FUSION weights position file.	FALSE		not_attempted	important	manual_download															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_rdat	artery_aorta	GTExv8.Artery_Aorta	GTExv8.Artery_Aorta/*.wgt.RDat	external/twas/fusion/weights/artery_aorta	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			At least one RDat file is required; full tissue run requires all referenced weights.	FALSE		not_attempted	important	manual_download															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	predictdb_model	artery_aorta	Artery_Aorta	Artery_Aorta*.db	external/twas/predixcan/models/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			PredictDB model database.	FALSE		not_attempted	important	manual_download															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	covariance	artery_aorta	Artery_Aorta	Artery_Aorta*.txt.gz	external/twas/predixcan/covariance/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			Summary-based S-PrediXcan covariance file.	FALSE		not_attempted	important	manual_download															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_pos	artery_tibial	GTExv8.Artery_Tibial	GTExv8.Artery_Tibial.pos	external/twas/fusion/weights/artery_tibial/GTExv8.Artery_Tibial.pos	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			FUSION weights position file.	FALSE		not_attempted	important	manual_download															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_rdat	artery_tibial	GTExv8.Artery_Tibial	GTExv8.Artery_Tibial/*.wgt.RDat	external/twas/fusion/weights/artery_tibial	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			At least one RDat file is required; full tissue run requires all referenced weights.	FALSE		not_attempted	important	manual_download															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	predictdb_model	artery_tibial	Artery_Tibial	Artery_Tibial*.db	external/twas/predixcan/models/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			PredictDB model database.	FALSE		not_attempted	important	manual_download															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	covariance	artery_tibial	Artery_Tibial	Artery_Tibial*.txt.gz	external/twas/predixcan/covariance/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			Summary-based S-PrediXcan covariance file.	FALSE		not_attempted	important	manual_download															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_pos	adipose_subcutaneous	GTExv8.Adipose_Subcutaneous	GTExv8.Adipose_Subcutaneous.pos	external/twas/fusion/weights/adipose_subcutaneous/GTExv8.Adipose_Subcutaneous.pos	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			FUSION weights position file.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_rdat	adipose_subcutaneous	GTExv8.Adipose_Subcutaneous	GTExv8.Adipose_Subcutaneous/*.wgt.RDat	external/twas/fusion/weights/adipose_subcutaneous	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			At least one RDat file is required; full tissue run requires all referenced weights.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	predictdb_model	adipose_subcutaneous	Adipose_Subcutaneous	Adipose_Subcutaneous*.db	external/twas/predixcan/models/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			PredictDB model database.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	covariance	adipose_subcutaneous	Adipose_Subcutaneous	Adipose_Subcutaneous*.txt.gz	external/twas/predixcan/covariance/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			Summary-based S-PrediXcan covariance file.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_pos	liver	GTExv8.Liver	GTExv8.Liver.pos	external/twas/fusion/weights/liver/GTExv8.Liver.pos	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			FUSION weights position file.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_rdat	liver	GTExv8.Liver	GTExv8.Liver/*.wgt.RDat	external/twas/fusion/weights/liver	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			At least one RDat file is required; full tissue run requires all referenced weights.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	predictdb_model	liver	Liver	Liver*.db	external/twas/predixcan/models/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			PredictDB model database.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	covariance	liver	Liver	Liver*.txt.gz	external/twas/predixcan/covariance/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			Summary-based S-PrediXcan covariance file.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_pos	colon_transverse	GTExv8.Colon_Transverse	GTExv8.Colon_Transverse.pos	external/twas/fusion/weights/colon_transverse/GTExv8.Colon_Transverse.pos	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			FUSION weights position file.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_rdat	colon_transverse	GTExv8.Colon_Transverse	GTExv8.Colon_Transverse/*.wgt.RDat	external/twas/fusion/weights/colon_transverse	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			At least one RDat file is required; full tissue run requires all referenced weights.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	predictdb_model	colon_transverse	Colon_Transverse	Colon_Transverse*.db	external/twas/predixcan/models/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			PredictDB model database.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	covariance	colon_transverse	Colon_Transverse	Colon_Transverse*.txt.gz	external/twas/predixcan/covariance/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			Summary-based S-PrediXcan covariance file.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_pos	small_intestine_terminal_ileum	GTExv8.Small_Intestine_Terminal_Ileum	GTExv8.Small_Intestine_Terminal_Ileum.pos	external/twas/fusion/weights/small_intestine_terminal_ileum/GTExv8.Small_Intestine_Terminal_Ileum.pos	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			FUSION weights position file.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_rdat	small_intestine_terminal_ileum	GTExv8.Small_Intestine_Terminal_Ileum	GTExv8.Small_Intestine_Terminal_Ileum/*.wgt.RDat	external/twas/fusion/weights/small_intestine_terminal_ileum	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			At least one RDat file is required; full tissue run requires all referenced weights.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	predictdb_model	small_intestine_terminal_ileum	Small_Intestine_Terminal_Ileum	Small_Intestine_Terminal_Ileum*.db	external/twas/predixcan/models/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			PredictDB model database.	FALSE		not_attempted	optional	freeze_missing															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	covariance	small_intestine_terminal_ileum	Small_Intestine_Terminal_Ileum	Small_Intestine_Terminal_Ileum*.txt.gz	external/twas/predixcan/covariance/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			Summary-based S-PrediXcan covariance file.	FALSE		not_attempted	optional	freeze_missing															
eqtl_smr_coloc	results/tables/eqtl_resource_manifest_v0.2.tsv			kidney_cortex			external/eqtl/gtex_v8/kidney_cortex/		expected_GRCh38_or_lifted_GRCh37		missing			Priority resource for kidney/TAL-related candidate loci; papilla-specific eQTL unavailable.	FALSE		not_attempted	critical		GTEx_v8_kidney_cortex_eQTL	GTEx Portal / GTEx v8	cis_eQTL_summary_or_SMR_ready	SMR BESD or coloc-ready summary	P1/P2 kidney and TAL candidates										
eqtl_smr_coloc	results/tables/eqtl_resource_manifest_v0.2.tsv			whole_blood			external/eqtl/gtex_v8/whole_blood/		expected_GRCh38_or_lifted_GRCh37		missing			Systemic immune/inflammatory reference tissue.	FALSE		not_attempted	important		GTEx_v8_whole_blood_eQTL	GTEx Portal / GTEx v8	cis_eQTL_summary_or_SMR_ready	SMR BESD or coloc-ready summary	systemic context										
eqtl_smr_coloc	results/tables/eqtl_resource_manifest_v0.2.tsv			artery_aorta			external/eqtl/gtex_v8/artery_aorta/		expected_GRCh38_or_lifted_GRCh37		missing			Vascular reference tissue.	FALSE		not_attempted	important		GTEx_v8_artery_aorta_eQTL	GTEx Portal / GTEx v8	cis_eQTL_summary_or_SMR_ready	SMR BESD or coloc-ready summary	vascular context										
eqtl_smr_coloc	results/tables/eqtl_resource_manifest_v0.2.tsv			artery_tibial			external/eqtl/gtex_v8/artery_tibial/		expected_GRCh38_or_lifted_GRCh37		missing			Vascular reference tissue.	FALSE		not_attempted	important		GTEx_v8_artery_tibial_eQTL	GTEx Portal / GTEx v8	cis_eQTL_summary_or_SMR_ready	SMR BESD or coloc-ready summary	vascular context										
eqtl_smr_coloc	results/tables/eqtl_resource_manifest_v0.2.tsv			adipose_subcutaneous			external/eqtl/gtex_v8/adipose_subcutaneous/		expected_GRCh38_or_lifted_GRCh37		missing			Metabolic context reference tissue.	FALSE		not_attempted	optional		GTEx_v8_adipose_subcutaneous_eQTL	GTEx Portal / GTEx v8	cis_eQTL_summary_or_SMR_ready	SMR BESD or coloc-ready summary	metabolic context										
eqtl_smr_coloc	results/tables/eqtl_resource_manifest_v0.2.tsv			blood			external/eqtl/eqtlgen/blood/		resource_dependent		missing			Large blood eQTL resource if accessible.	FALSE		not_attempted	optional		eQTLGen_blood_eQTL	eQTLGen	cis_eQTL_summary_or_SMR_ready	SMR BESD or coloc-ready summary	blood eQTL sensitivity										
eqtl_smr_coloc	results/tables/eqtl_resource_manifest_v0.2.tsv			multi_tissue			external/eqtl/multi_tissue/		resource_dependent		missing			Use only after documenting build, variant IDs, and gene ID convention.	FALSE		not_attempted	optional		GTEx_v8_multi_tissue_or_eQTL_catalogue	GTEx Portal or eQTL Catalogue	cis_eQTL_summary_or_SMR_ready	resource_dependent	multi-tissue sensitivity										
spatial	results/tables/spatial_resource_manifest.tsv						data/raw/GSE206306				missing			No local spatial matrix/image/coordinate files detected; preprocessing cannot proceed beyond manifest.								spatial_transcriptomics			GSE206306	GSE206306	pending	Visium_or_spatial_platform_pending	FALSE	FALSE	FALSE	FALSE		
spatial	results/tables/spatial_resource_manifest.tsv						data/raw/GSE231630				missing			No local spatial matrix/image/coordinate files detected; preprocessing cannot proceed beyond manifest.								spatial_transcriptomics			GSE231630	GSE231630	pending	Visium_or_spatial_platform_pending	FALSE	FALSE	FALSE	FALSE		
pathway_resources	results/tables/pathway_resource_status_v0.1.tsv										completed_with_clusterProfiler_org.Hs.eg.db																						GO Biological Process	Used for main pathway enrichment table.
pathway_resources	results/tables/pathway_resource_status_v0.1.tsv										unavailable_offline																						ReactomePA	Package unavailable in current local R library.
pathway_resources	results/tables/pathway_resource_status_v0.1.tsv										unavailable_offline																						MSigDB/Hallmark via msigdbr	Package unavailable in current local R library.
pathway_resources	results/tables/pathway_resource_status_v0.1.tsv										not_run_no_local_resource																						KEGG	Not run to avoid online dependency and unsupported organism mapping assumptions.
