gene	input_evidence_summary	classification_decision	why_not_higher	why_not_lower	allowed_sentence_fragment	forbidden_sentence_fragment	needs_followup_in_stage4_or_stage5
ATG16L1	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
ATP6V1G2	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
BAG6	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
BNIP1	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
C19orf48P	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
C6orf48	G4_no_MAGMA_support; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R5_TWAS_proxy_only with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	supplementary Kidney_Cortex proxy TWAS signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
CASR	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=yes; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton; curated exemplar flag retained only as biological interpretation	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
CDK12	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
CFDP1	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
CHAC1	G3_MAGMA_suggestive_or_module; T1_multi_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
CHAF1B	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
CLDN10	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=yes; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton; curated exemplar flag retained only as biological interpretation	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
CLDN14	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=yes; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton; curated exemplar flag retained only as biological interpretation	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
CPNE8	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
CRHR1	G1_MAGMA_Bonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
DDAH2	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
DGKD	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
DGKH	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
DHX16	G2_MAGMA_FDR_nonBonferroni; T1_multi_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
DNAJB11	G1_MAGMA_Bonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
DXO	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
DZIP1	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
F12	G1_MAGMA_Bonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
FBXL20	G1_MAGMA_Bonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
FHL3	G3_MAGMA_suggestive_or_module; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
FNIP2	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
GCAT	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
GCKR	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
GIPC1	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
GIPR	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
GLT8D1	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
GNAZ	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
GNL3	G1_MAGMA_Bonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
HIBADH	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=yes; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton; curated exemplar flag retained only as biological interpretation	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
HLA-DOB	G2_MAGMA_FDR_nonBonferroni; T1_multi_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
HLA-DQA2	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
HLA-DQB2	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
HLF	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
ITIH1	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
ITIH3	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
KANSL1	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
